idx,word,reading,meaning,tags,kanji_idxs,variants,retired
63,十分,じゅっぷん,ten minutes,[],[10],[],false
64,百,ひゃく,hundred,[],[11],[],false
65,百円,ひゃくえん,100 yen,[],"[11, 72]",[],false
66,百年,ひゃくねん,100 years,[],[11],[],false
67,百人,ひゃくにん,100 people,[],[11],[],false
68,三百,さんびゃく,300,[],[11],[],false
69,八百,はっぴゃく,800,[],[11],[],false
70,千,せん,thousand,[],[12],[],false
71,千円,せんえん,1000 yen,[],"[12, 72]",[],false
72,千年,せんねん,1000 years,[],[12],[],false
73,千人,せんにん,1000 people,[],[12],[],false
74,三千,さんぜん,3000,[],[12],[],false
75,千葉,ちば,Chiba,[],[12],[],false
76,万,まん,ten thousand,[],[13],[],false
77,一万,いちまん,10000,[],[13],[],false
78,百万,ひゃくまん,million,[],[13],[],false
79,万人,ばんにん,all people,[],[13],[],false
80,日,ひ,day/sun,[],[14],[],false
81,日本,にほん,Japan,[],"[14, 71]",[],false
82,毎日,まいにち,every day,[],"[14, 28]",[],false
83,日曜日,にちようび,Sunday,[],[14],[],false
84,今日,きょう,today,[],"[14, 24]",[],false
85,休日,きゅうじつ,holiday,[],"[14, 151]",[],false
86,月,つき,moon/month,[],[15],[],false
87,月曜日,げつようび,Monday,[],[15],[],false
88,今月,こんげつ,this month,[],"[15, 24]",[],false
89,毎月,まいつき,every month,[],"[15, 28]",[],false
90,月見,つきみ,moon viewing,[],[15],[],false
91,火,ひ,fire,[],[16],[],false
92,火曜日,かようび,Tuesday,[],"[16, 29]",[],false
93,花火,はなび,fireworks,[],"[16, 284]",[],false
94,火山,かざん,volcano,[],"[16, 45]",[],false
95,火事,かじ,fire/blaze,[],[16],[],false
96,水,みず,water,[],[17],[],false
97,水曜日,すいようび,Wednesday,[],[17],[],false
98,水道,すいどう,water supply,[],"[17, 49]",[],false
99,お水,おみず,water (polite),[],[17],[],false
100,水中,すいちゅう,underwater,[],[17],[],false
101,木,き,tree,[],[18],[],false
102,木,もく,wood,[],[18],[],false
103,木曜日,もくようび,Thursday,[],[18],[],false
104,大木,たいぼく,big tree,[],[18],[],false
105,金,かね,money,[],[19],[],false
106,金曜日,きんようび,Friday,[],[19],[],false
107,お金,おかね,money,[],[19],[],false
108,金魚,きんぎょ,goldfish,[],"[19, 81]",[],false
109,料金,りょうきん,fee,[],"[19, 254]",[],false
110,土,つち,soil,[],[20],[],false
111,土曜日,どようび,Saturday,[],"[20, 29]",[],false
112,土地,とち,land,[],"[20, 226]",[],false
113,土曜,どよう,Saturday,[],[20],[],false
114,年,とし,year/age,[],[21],[],false
115,今年,ことし,this year,[],"[21, 24]",[],false
116,毎年,まいとし,every year,[],"[21, 28]",[],false
117,年間,ねんかん,yearly,[],[21],[],false
118,少年,しょうねん,boy,[],"[21, 76]",[],false
119,時,とき,time,[],[22],[],false
120,時間,じかん,time/hour,[],"[22, 26]",[],false
121,時計,とけい,clock,[],"[22, 291]",[],false
122,時々,ときどき,sometimes,[],[22],[],false
123,自分,じぶん,oneself,[],"[23, 264]",[],false
124,半分,はんぶん,half,[],"[23, 25]",[],false
125,十分,じゅうぶん,enough,[],[23],[],false
126,分かる,わかる,to understand,"[""u-verb""]",[23],[],false
127,気分,きぶん,mood,[],"[23, 148]",[],false
128,今,いま,now,[],[24],[],false
129,今週,こんしゅう,this week,[],"[24, 27]",[],false
130,半年,はんとし,half year,[],[25],[],false
131,一時半,いちじはん,1:30,[],[25],[],false
132,半日,はんにち,half day,[],[25],[],false
133,間,あいだ,interval,[],[26],[],false
134,人間,にんげん,human,[],[26],[],false
135,週間,しゅうかん,week,[],[26],[],false
136,間に合う,まにあう,to be in time,"[""u-verb""]",[26],[],false
137,来週,らいしゅう,next week,[],"[27, 55]",[],false
138,毎週,まいしゅう,every week,[],"[27, 28]",[],false
139,先週,せんしゅう,last week,[],"[27, 146]",[],false
140,毎朝,まいあさ,every morning,[],"[28, 162]",[],false
141,曜日,ようび,day of week,[],[29],[],false
142,月曜,げつよう,Monday,[],[29],[],false
143,日曜,にちよう,Sunday,[],[29],[],false
144,人,ひと,person,[],[30],[],false
145,日本人,にほんじん,Japanese person,[],[30],[],false
146,大人,おとな,adult,[],"[30, 42]",[],false
147,人気,にんき,popularity,[],"[30, 148]",[],false
148,私,わたし,I/me,[],[31],[],false
149,私立,しりつ,private (school),[],"[31, 67]",[],false
150,私たち,わたしたち,we,[],[31],[],false
151,私服,しふく,plain clothes,[],[31],[],false
152,男,おとこ,man,[],[32],[],false
153,男の子,おとこのこ,boy,[],"[32, 34]",[],false
154,長男,ちょうなん,eldest son,[],"[32, 77]",[],false
155,男女,だんじょ,men and women,[],[32],[],false
156,女,おんな,woman,[],[33],[],false
157,女の子,おんなのこ,girl,[],"[33, 34]",[],false
158,彼女,かのじょ,she/girlfriend,[],"[33, 273]",[],false
159,少女,しょうじょ,young girl,[],"[33, 76]",[],false
160,子,こ,child,[],[34],[],false
161,子供,こども,child,[],"[34, 267]","[""子ども""]",false
162,名前,なまえ,name,[],"[35, 144]",[],false
163,有名,ゆうめい,famous,[],"[35, 221]",[],false
164,名人,めいじん,master/expert,[],[35],[],false
165,名古屋,なごや,Nagoya,[],[35],[],false
166,友,とも,friend,[],[36],[],false
167,友達,ともだち,friend,[],"[36, 256]","[""友だち""]",false
168,親友,しんゆう,best friend,[],[36],[],false
169,友人,ゆうじん,friend,[],[36],[],false
170,学友,がくゆう,schoolmate,[],[36],[],false
171,父,ちち,father,[],[37],[],false
172,お父さん,おとうさん,dad,[],[37],[],false
173,父親,ちちおや,father,[],[37],[],false
174,祖父,そふ,grandfather,[],"[37, 281]",[],false
175,母,はは,mother,[],[38],[],false
176,お母さん,おかあさん,mom,[],[38],[],false
177,母親,ははおや,mother,[],"[38, 270]",[],false
178,祖母,そぼ,grandmother,[],"[38, 281]",[],false
179,上,うえ,up/above,[],[39],[],false
180,上手,じょうず,skillful,[],"[39, 100]",[],false
181,上着,うわぎ,jacket,[],"[39, 186]",[],false
182,以上,いじょう,more than,[],"[39, 216]",[],false
183,上がる,あがる,to rise,"[""u-verb""]",[39],[],false
184,下,した,below,[],[40],[],false
185,下手,へた,unskillful,[],"[40, 100]",[],false
186,地下,ちか,underground,[],[40],[],false
187,以下,いか,less than,[],"[40, 216]",[],false
188,下がる,さがる,to go down,"[""u-verb""]",[40],[],false
189,中,なか,inside,[],[41],[],false
190,中,ちゅう,middle,[],[41],[],false
191,中学,ちゅうがく,middle school,[],[41],[],false
192,中国,ちゅうごく,China,[],"[41, 44]",[],false
193,一日中,いちにちじゅう,all day,[],[41],[],false
194,真ん中,まんなか,center,[],"[41, 220]",[],false
195,大きい,おおきい,big,[],[42],[],false
196,大学,だいがく,university,[],"[42, 96]",[],false
197,大好き,だいすき,love,[],"[42, 78]",[],false
198,小さい,ちいさい,small,[],[43],[],false
199,小学校,しょうがっこう,elementary,[],[43],[],false
200,小学生,しょうがくせい,elem. student,[],[43],[],false
201,小川,おがわ,stream,[],"[43, 46]",[],false
202,小説,しょうせつ,novel,[],"[43, 287]",[],false
203,国,くに,country,[],[44],[],false
204,国,こく,nation,[],[44],[],false
205,外国,がいこく,foreign country,[],"[44, 52]",[],false
206,国語,こくご,national language,[],[44],[],false
207,山,やま,mountain,[],[45],[],false
208,山田,やまだ,Yamada (name),[],[],[],true
209,川,かわ,river,[],[46],[],false
210,川口,かわぐち,Kawaguchi,[],[],[],true
211,駅,えき,station,[],[47],[],false
212,駅前,えきまえ,front of station,[],"[47, 144]",[],false
213,東京駅,とうきょうえき,Tokyo Station,[],[47],[],false
214,駅員,えきいん,station staff,[],"[47, 260]",[],false
215,町,まち,town,[],[48],[],false
216,町長,ちょうちょう,town mayor,[],[48],[],false
217,下町,したまち,downtown,[],[48],[],false
218,町内,ちょうない,neighborhood,[],[48],[],false
219,道,みち,road,[],[49],[],false
220,北海道,ほっかいどう,Hokkaido,[],"[49, 143, 245]",[],false
221,店,みせ,shop,[],[50],[],false
222,お店,おみせ,store,[],[50],[],false
223,店員,てんいん,clerk,[],"[50, 260]",[],false
224,書店,しょてん,bookstore,[],[50],[],false
225,店長,てんちょう,store manager,[],[50],[],false
226,家,いえ,house,[],[51],[],false
227,家,うち,home,[],[51],[],false
228,家族,かぞく,family,[],"[51, 274]",[],false
229,作家,さっか,author,[],"[51, 174]",[],false
230,外,そと,outside,[],[52],[],false
231,外国人,がいこくじん,foreigner,[],[52],[],false
232,海外,かいがい,overseas,[],"[52, 245]",[],false
233,以外,いがい,except,[],"[52, 216]",[],false
234,内,うち,inside,[],[53],[],false
235,国内,こくない,domestic,[],[53],[],false
236,以内,いない,within,[],[53],[],false
237,行く,いく,to go,"[""u-verb""]",[54],[],false
238,旅行,りょこう,travel,[],"[54, 262]",[],false
239,銀行,ぎんこう,bank,[],"[54, 120]",[],false
240,行う,おこなう,to carry out,"[""u-verb""]",[54],[],false
241,行動,こうどう,action,[],[54],[],false
242,来る,くる,to come,"[""irregular-verb""]",[55],[],false
243,来年,らいねん,next year,[],[55],[],false
244,来月,らいげつ,next month,[],[55],[],false
245,見る,みる,to see,"[""ru-verb""]",[56],[],false
246,見せる,みせる,to show,"[""ru-verb""]",[56],[],false
247,意見,いけん,opinion,[],"[56, 218]",[],false
248,花見,はなみ,flower viewing,[],"[56, 284]",[],false
249,発見,はっけん,discovery,[],[56],[],false
250,食べる,たべる,to eat,"[""ru-verb""]",[57],[],false
251,食事,しょくじ,meal,[],"[57, 122]",[],false
252,食堂,しょくどう,cafeteria,[],"[57, 241]",[],false
253,朝食,ちょうしょく,breakfast,[],[57],[],false
254,飲む,のむ,to drink,"[""u-verb""]",[58],[],false
255,飲み物,のみもの,beverage,[],[58],[],false
256,飲料,いんりょう,beverage,[],[58],[],false
257,飲食,いんしょく,food and drink,[],[58],[],false
258,言う,いう,to say,"[""u-verb""]",[59],[],false
259,言葉,ことば,word,[],"[59, 265]",[],false
260,方言,ほうげん,dialect,[],[59],[],false
261,言語,げんご,language,[],[59],[],false
262,出る,でる,to exit,"[""ru-verb""]",[60],[],false
263,出す,だす,to take out,"[""u-verb""]",[60],[],false
264,出口,でぐち,exit,[],"[60, 157]",[],false
265,外出,がいしゅつ,going out,[],[60],[],false
266,出発,しゅっぱつ,departure,[],"[60, 251]",[],false
267,入る,はいる,to enter,"[""u-verb""]",[61],[],false
268,入れる,いれる,to put in,"[""ru-verb""]",[61],[],false
269,入口,いりぐち,entrance,[],"[61, 157]",[],false
270,入学,にゅうがく,school entrance,[],[61],[],false
271,買う,かう,to buy,"[""u-verb""]",[62],[],false
272,買い物,かいもの,shopping,[],"[62, 88]",[],false
273,売買,ばいばい,trading,[],[62],[],false
274,読む,よむ,to read,"[""u-verb""]",[63],[],false
275,読書,どくしょ,reading,[],[63],[],false
276,読み方,よみかた,how to read,[],[63],[],false
277,書く,かく,to write,"[""u-verb""]",[64],[],false
278,図書館,としょかん,library,[],"[64, 227, 228]",[],false
279,書道,しょどう,calligraphy,[],[64],[],false
280,聞く,きく,to hear,"[""u-verb""]",[65],[],false
281,新聞,しんぶん,newspaper,[],"[65, 70]",[],false
282,聞こえる,きこえる,to be audible,"[""ru-verb""]",[65],[],false
283,話す,はなす,to speak,"[""u-verb""]",[66],[],false
284,話,はなし,story,[],[66],[],false
285,電話,でんわ,telephone,[],"[66, 95]",[],false
286,会話,かいわ,conversation,[],"[66, 172]",[],false
287,世話,せわ,care,[],"[66, 224]",[],false
288,立つ,たつ,to stand,"[""u-verb""]",[67],[],false
289,立てる,たてる,to set up,"[""ru-verb""]",[67],[],false
290,国立,こくりつ,national,[],[67],[],false
291,待つ,まつ,to wait,"[""u-verb""]",[68],[],false
292,待合室,まちあいしつ,waiting room,[],[68],[],false
293,待ち合わせ,まちあわせ,meeting up,[],[68],[],false
294,高い,たかい,tall/expensive,[],[69],[],false
295,高校,こうこう,high school,[],"[69, 97]",[],false
296,最高,さいこう,the best,[],"[69, 263]",[],false
297,高校生,こうこうせい,high schooler,[],[69],[],false
298,新しい,あたらしい,new,[],[70],[],false
299,新年,しんねん,new year,[],[70],[],false
300,最新,さいしん,latest,[],[70],[],false
301,本,ほん,book,[],[71],[],false
302,本当,ほんとう,truth,[],"[71, 272]",[],false
303,本屋,ほんや,bookstore,[],"[71, 121]",[],false
304,一本,いっぽん,one (long obj),[],[71],[],false
305,円,えん,yen/circle,[],[72],[],false
306,円い,まるい,round,[],[72],[],false
307,何,なに,what,[],[73],[],false
308,何時,なんじ,what time,[],[73],[],false
309,何人,なんにん,how many people,[],[73],[],false
310,何曜日,なんようび,what day,[],[73],[],false
311,安い,やすい,cheap,[],[74],[],false
312,安心,あんしん,relief,[],"[74, 161]",[],false
313,安全,あんぜん,safety,[],"[74, 127]",[],false
314,不安,ふあん,anxiety,[],"[74, 212]",[],false
315,多い,おおい,many,[],[75],[],false
316,多分,たぶん,probably,[],[75],[],false
317,多数,たすう,majority,[],"[75, 134]",[],false
318,少ない,すくない,few,[],[76],[],false
319,少し,すこし,a little,[],[76],[],false
320,多少,たしょう,more or less,[],[76],[],false
321,長い,ながい,long,[],[77],[],false
322,社長,しゃちょう,company president,[],"[77, 268]",[],false
323,校長,こうちょう,principal,[],"[77, 97]",[],false
324,好き,すき,like,[],[78],[],false
325,好む,このむ,to prefer,"[""u-verb""]",[78],[],false
326,好物,こうぶつ,favorite food,[],[78],[],false
327,米,こめ,rice,[],[79],[],false
328,お米,おこめ,rice,[],[79],[],false
329,米国,べいこく,USA,[],[79],[],false
330,新米,しんまい,new rice/rookie,[],[79],[],false
331,肉,にく,meat,[],[80],[],false
332,牛肉,ぎゅうにく,beef,[],"[80, 102]",[],false
333,肉屋,にくや,butcher,[],[80],[],false
334,焼肉,やきにく,grilled meat,[],"[80, 106]",[],false
335,魚,さかな,fish,[],[81],[],false
336,魚屋,さかなや,fish shop,[],[81],[],false
337,人魚,にんぎょ,mermaid,[],[81],[],false
338,茶,ちゃ,tea,[],[82],[],false
339,お茶,おちゃ,tea,[],[82],[],false
340,酒,さけ,alcohol,[],[83],[],false
341,お酒,おさけ,alcohol,[],[83],[],false
342,日本酒,にほんしゅ,sake,[],[83],[],false
343,酒屋,さかや,liquor store,[],[83],[],false
344,卵,たまご,egg,[],[84],[],false
345,生卵,なまたまご,raw egg,[],[84],[],false
346,卵焼き,たまごやき,rolled omelet,[],"[84, 106]",[],false
347,ゆで卵,ゆでたまご,boiled egg,[],[84],[],false
348,野菜,やさい,vegetable,[],"[85, 86]",[],false
349,分野,ぶんや,field/area,[],[85],[],false
350,長野,ながの,Nagano,[],[85],[],false
351,白菜,はくさい,Chinese cabbage,[],"[86, 99]",[],false
352,果物,くだもの,fruit,[],[87],[],false
353,結果,けっか,result,[],"[87, 302]",[],false
354,果実,かじつ,fruit,[],"[87, 303]",[],false
355,果物屋,くだものや,fruit shop,[],[87],[],false
356,物,もの,thing,[],[88],[],false
357,食べ物,たべもの,food,[],[88],[],false
358,動物,どうぶつ,animal,[],"[88, 258]",[],false
359,ご飯,ごはん,rice/meal,[],[89],[],false
360,飯,めし,meal,[],[89],[],false
361,朝ご飯,あさごはん,breakfast,[],"[89, 162]",[],false
362,夕飯,ゆうはん,dinner,[],[89],[],false
363,昼飯,ひるめし,lunch,[],[89],[],false
364,麺,めん,noodles,[],[90],[],false
365,冷麺,れいめん,cold noodles,[],"[90, 305]",[],false
366,油,あぶら,oil,[],[91],[],false
367,油田,ゆでん,oil field,[],[91],[],false
368,塩,しお,salt,[],[92],[],false
369,塩水,しおみず,salt water,[],[92],[],false
370,食塩,しょくえん,table salt,[],[92],[],false
371,塩分,えんぶん,salt content,[],[92],[],false
372,砂糖,さとう,sugar,[],"[93, 261]",[],false
373,糖分,とうぶん,sugar content,[],[93],[],false
374,車,くるま,car,[],[94],[],false
375,電車,でんしゃ,train,[],"[94, 95]",[],false
376,自動車,じどうしゃ,automobile,[],"[94, 264]",[],false
377,自転車,じてんしゃ,bicycle,[],"[94, 194, 264]",[],false
378,電気,でんき,electricity,[],[95],[],false
379,学校,がっこう,school,[],"[96, 97]",[],false
380,学生,がくせい,student,[],"[96, 98]",[],false
381,学ぶ,まなぶ,to learn,"[""u-verb""]",[96],[],false
382,数学,すうがく,math,[],"[96, 134]",[],false
383,母校,ぼこう,alma mater,[],[97],[],false
384,生まれる,うまれる,to be born,"[""ru-verb""]",[98],[],false
385,先生,せんせい,teacher,[],"[98, 146]",[],false
386,一生,いっしょう,whole life,[],[98],[],false
387,白い,しろい,white,[],[99],[],false
388,白,しろ,white,[],[99],[],false
389,面白い,おもしろい,interesting,[],"[99, 288]",[],false
390,白紙,はくし,blank paper,[],[99],[],false
391,手,て,hand,[],[100],[],false
392,手紙,てがみ,letter,[],"[100, 255]",[],false
393,切手,きって,stamp,[],"[100, 113]",[],false
394,美しい,うつくしい,beautiful,[],[101],[],false
395,美味しい,おいしい,delicious,[],"[101, 104]",[],false
396,美人,びじん,beautiful person,[],[101],[],false
397,美術,びじゅつ,art,[],"[101, 285]",[],false
398,牛,うし,cow,[],[102],[],false
399,牛乳,ぎゅうにゅう,milk,[],"[102, 257]",[],false
400,子牛,こうし,calf,[],[102],[],false
401,鳥,とり,bird,[],[103],[],false
402,焼き鳥,やきとり,grilled chicken,[],[103],[],false
403,小鳥,ことり,small bird,[],[103],[],false
404,白鳥,はくちょう,swan,[],[103],[],false
405,味,あじ,taste,[],[104],[],false
406,意味,いみ,meaning,[],"[104, 218]",[],false
407,味方,みかた,ally,[],[104],[],false
408,味見,あじみ,tasting,[],[104],[],false
409,甘い,あまい,sweet,[],[105],[],false
410,甘酒,あまざけ,sweet sake,[],[105],[],false
411,甘味,かんみ,sweetness,[],[105],[],false
412,焼く,やく,to grill,"[""u-verb""]",[106],[],false
413,焼き魚,やきざかな,grilled fish,[],[106],[],false
414,豆,まめ,bean,[],[107],[],false
415,大豆,だいず,soybean,[],[107],[],false
416,鉄,てつ,iron,[],[108],[],false
417,地下鉄,ちかてつ,subway,[],"[108, 226]",[],false
418,鉄道,てつどう,railway,[],[108],[],false
419,私鉄,してつ,private railway,[],[108],[],false
420,船,ふね,ship,[],[109],[],false
421,風船,ふうせん,balloon,[],"[109, 295]",[],false
422,船長,せんちょう,captain,[],[109],[],false
423,飛ぶ,とぶ,to fly,"[""u-verb""]",[110],[],false
424,飛行機,ひこうき,airplane,[],"[110, 111]",[],false
425,飛行場,ひこうじょう,airfield,[],[110],[],false
426,機械,きかい,machine,[],"[111, 277]",[],false
427,機会,きかい,opportunity,[],[111],[],false
428,橋,はし,bridge,[],[112],[],false
429,歩道橋,ほどうきょう,footbridge,[],[112],[],false
430,切る,きる,to cut,"[""u-verb""]",[113],[],false
431,切符,きっぷ,ticket,[],"[113, 282]",[],false
432,大切,たいせつ,important,[],[113],[],false
433,市,し,city,[],[114],[],false
434,市場,いちば,market,[],"[114, 117]",[],false
435,市民,しみん,citizen,[],"[114, 278]",[],false
436,公園,こうえん,park,[],"[115, 116]",[],false
437,公立,こうりつ,public,[],[115],[],false
438,動物園,どうぶつえん,zoo,[],[116],[],false
439,場所,ばしょ,place,[],"[117, 124]",[],false
440,会場,かいじょう,venue,[],[117],[],false
441,病気,びょうき,illness,[],[118],[],false
442,病院,びょういん,hospital,[],"[118, 119]",[],false
443,病人,びょうにん,sick person,[],[118],[],false
444,大学院,だいがくいん,grad school,[],[119],[],false
445,銀,ぎん,silver,[],[120],[],false
446,部屋,へや,room,[],"[121, 252]",[],false
447,八百屋,やおや,greengrocer,[],[121],[],false
448,屋上,おくじょう,rooftop,[],[121],[],false
449,事,こと,thing/matter,[],[122],[],false
450,仕事,しごと,job/work,[],"[122, 253]",[],false
451,大事,だいじ,important,[],[122],[],false
452,用事,ようじ,errand,[],"[122, 214]",[],false
453,方,かた,person (polite),[],[123],[],false
454,方法,ほうほう,method,[],"[123, 279]",[],false
455,両方,りょうほう,both,[],"[123, 133]",[],false
456,夕方,ゆうがた,evening,[],"[123, 165]",[],false
457,所,ところ,place,[],[124],[],false
458,台所,だいどころ,kitchen,[],"[124, 292]",[],false
459,近所,きんじょ,neighborhood,[],"[124, 207]",[],false
460,住所,じゅうしょ,address,[],"[124, 187]",[],false
461,名所,めいしょ,famous spot,[],[124],[],false
462,訳,わけ,reason/meaning,[],[125],[],false
463,通訳,つうやく,interpreter,[],[125],[],false
464,言い訳,いいわけ,excuse,[],[125],[],false
465,程,ほど,extent,[],[126],[],false
466,程度,ていど,degree,[],[126],[],false
467,日程,にってい,schedule,[],[126],[],false
468,全部,ぜんぶ,all,[],"[127, 252]",[],false
469,全員,ぜんいん,everyone,[],[127],[],false
470,全国,ぜんこく,nationwide,[],[127],[],false
471,全体,ぜんたい,the whole,[],"[127, 159]",[],false
472,皆,みな,everyone,[],[128],[],false
473,皆さん,みなさん,everyone (polite),[],[128],[],false
474,他,ほか,other,[],[129],[],false
475,他人,たにん,stranger,[],[129],[],false
476,その他,そのた,et cetera,[],[129],[],false
477,他国,たこく,foreign country,[],[129],[],false
478,別,べつ,separate,[],[130],[],false
479,別々,べつべつ,separately,[],[130],[],false
480,特別,とくべつ,special,[],"[130, 210]",[],false
481,別れる,わかれる,to part,"[""ru-verb""]",[130],[],false
482,同じ,おなじ,same,[],[131],[],false
483,同時,どうじ,simultaneous,[],[131],[],false
484,同年,どうねん,same year,[],[131],[],false
485,同意,どうい,agreement,[],[131],[],false
486,各自,かくじ,each person,[],[132],[],false
487,各国,かっこく,each country,[],[132],[],false
488,各地,かくち,various places,[],[132],[],false
489,各々,おのおの,each,[],[132],[],false
490,両親,りょうしん,parents,[],"[133, 270]",[],false
491,両手,りょうて,both hands,[],[133],[],false
492,両国,りょうこく,both countries,[],[133],[],false
493,数,かず,number,[],[134],[],false
494,数字,すうじ,numeral,[],[134],[],false
495,人数,にんずう,number of people,[],[134],[],false
496,数日,すうじつ,several days,[],[134],[],false
497,約,やく,approximately,[],[135],[],false
498,約束,やくそく,promise,[],"[135, 276]",[],false
499,予約,よやく,reservation,[],"[135, 271]",[],false
500,誰,だれ,who,[],[136],[],false
501,誰か,だれか,someone,[],[136],[],false
502,誰も,だれも,everyone/no one,[],[136],[],false
503,誰でも,だれでも,anyone,[],[136],[],false
504,誰の,だれの,whose,[],[136],[],false
505,幾つ,いくつ,how many,[],[137],[],false
506,幾ら,いくら,how much,[],[137],[],false
507,幾何,きか,geometry,[],[137],[],false
508,幾度,いくど,how many times,[],[137],[],false
509,右,みぎ,right,[],[138],[],false
510,右手,みぎて,right hand,[],[138],[],false
511,左右,さゆう,left and right,[],[138],[],false
512,左,ひだり,left,[],[139],[],false
513,左手,ひだりて,left hand,[],[139],[],false
514,東,ひがし,east,[],[140],[],false
515,東京,とうきょう,Tokyo,[],"[140, 239]",[],false
516,東口,ひがしぐち,east exit,[],[140],[],false
517,東洋,とうよう,the East; Orient,[],"[140, 246]",[],false
518,西,にし,west,[],[141],[],false
519,西口,にしぐち,west exit,[],[141],[],false
520,西洋,せいよう,the West,[],"[141, 246]",[],false
521,北西,ほくせい,northwest,[],[141],[],false
522,南,みなみ,south,[],[142],[],false
523,南口,みなみぐち,south exit,[],[142],[],false
524,東南,とうなん,southeast,[],[142],[],false
525,南米,なんべい,South America,[],[142],[],false
526,北,きた,north,[],[143],[],false
527,北口,きたぐち,north exit,[],[143],[],false
528,東北,とうほく,northeast; Tohoku,[],[143],[],false
529,北米,ほくべい,North America,[],[143],[],false
530,前,まえ,front; before,[],[144],[],false
531,午前,ごぜん,a.m.,[],"[144, 150]",[],false
532,前日,ぜんじつ,previous day,[],[144],[],false
533,後,あと,after; later,[],[145],[],false
534,後ろ,うしろ,behind,[],[145],[],false
535,午後,ごご,p.m.,[],"[145, 150]",[],false
536,後半,こうはん,second half,[],[145],[],false
537,最後,さいご,last,[],"[145, 263]",[],false
538,先,さき,ahead; previous,[],[146],[],false
539,先月,せんげつ,last month,[],[146],[],false
540,先日,せんじつ,the other day,[],[146],[],false
541,天気,てんき,weather,[],"[147, 148]",[],false
542,天国,てんごく,heaven,[],[147],[],false
543,雨天,うてん,rainy weather,[],"[147, 149]",[],false
544,気,き,spirit; mind,[],[148],[],false
545,元気,げんき,healthy; energetic,[],"[148, 222]",[],false
546,気持ち,きもち,feeling,[],"[148, 175]",[],false
547,雨,あめ,rain,[],[149],[],false
548,大雨,おおあめ,heavy rain,[],[149],[],false
549,正午,しょうご,noon,[],"[150, 208]",[],false
550,休む,やすむ,to rest,"[""u-verb""]",[151],[],false
551,休み,やすみ,break; holiday,[],[151],[],false
552,夏休み,なつやすみ,summer vacation,[],"[151, 167]",[],false
553,昼休み,ひるやすみ,lunch break,[],"[151, 163]",[],false
554,日本語,にほんご,Japanese language,[],[152],[],false
555,英語,えいご,English,[],"[152, 248]",[],false
556,語学,ごがく,language study,[],[152],[],false
557,物語,ものがたり,tale; story,[],[152],[],false
