idx,word,examples,phrases,distractors,batch,category,meanings,note,etymology,script,rare_kanji,complexity,retired
11,おごる,"[{""word"": ""昼ご飯をおごる"", ""reading"": ""ひるごはんをおごる"", ""meaning"": ""to treat someone to lunch"", ""tags"": []}]","[{""word"": ""昼ご飯をおごる"", ""reading"": ""ひるごはんをおごる"", ""meaning"": ""to treat someone to lunch"", ""tags"": []}, {""word"": ""昼をおごる"", ""reading"": ""ひるをおごる"", ""meaning"": ""to treat to lunch""}, {""word"": ""友達におごる"", ""reading"": ""ともだちにおごる"", ""meaning"": ""to treat a friend""}]","[{""word"": ""おこる"", ""reading"": ""おこる"", ""meaning"": ""(non-word)""}, {""word"": ""おごっる"", ""reading"": ""おごっる"", ""meaning"": ""(non-word)""}, {""word"": ""おご"", ""reading"": ""おご"", ""meaning"": ""(non-word)""}]",1,Actions,to treat someone (pay),,native Japanese,hiragana,奢る,3,false
12,いじめる,"[{""word"": ""弟をいじめる"", ""reading"": ""おとうとをいじめる"", ""meaning"": ""to pick on one's little brother"", ""tags"": []}]","[{""word"": ""弟をいじめる"", ""reading"": ""おとうとをいじめる"", ""meaning"": ""to pick on one's little brother"", ""tags"": []}, {""word"": ""いじめないで"", ""reading"": ""いじめないで"", ""meaning"": ""dont bully""}, {""word"": ""動物をいじめる"", ""reading"": ""どうぶつをいじめる"", ""meaning"": ""to mistreat animals""}]","[{""word"": ""いしめる"", ""reading"": ""いしめる"", ""meaning"": ""(non-word)""}, {""word"": ""いじっめる"", ""reading"": ""いじっめる"", ""meaning"": ""(non-word)""}, {""word"": ""いじめ"", ""reading"": ""いじめ"", ""meaning"": ""(non-word)""}]",1,Actions,to bully,,native Japanese,hiragana,苛める,4,false
13,つまずく,"[{""word"": ""よくつまずく"", ""reading"": ""よくつまずく"", ""meaning"": ""to trip often"", ""tags"": []}]","[{""word"": ""よくつまずく"", ""reading"": ""よくつまずく"", ""meaning"": ""to trip often""}, {""word"": ""何かにつまずく"", ""reading"": ""なにかにつまずく"", ""meaning"": ""to trip on something""}, {""word"": ""道でつまずく"", ""reading"": ""みちでつまずく"", ""meaning"": ""to stumble in the street""}]","[{""word"": ""づまずく"", ""reading"": ""づまずく"", ""meaning"": ""(non-word)""}, {""word"": ""つますく"", ""reading"": ""つますく"", ""meaning"": ""(non-word)""}, {""word"": ""つまずぐ"", ""reading"": ""つまずぐ"", ""meaning"": ""(non-word)""}]",1,Actions,to trip / stumble,,native Japanese,hiragana,躓く,4,false
14,しゃがむ,"[{""word"": ""道にしゃがむ"", ""reading"": ""みちにしゃがむ"", ""meaning"": ""to crouch on the street"", ""tags"": []}]","[{""word"": ""道にしゃがむ"", ""reading"": ""みちにしゃがむ"", ""meaning"": ""to crouch on the street"", ""tags"": []}, {""word"": ""急にしゃがむ"", ""reading"": ""きゅうにしゃがむ"", ""meaning"": ""to crouch suddenly""}, {""word"": ""下にしゃがむ"", ""reading"": ""したにしゃがむ"", ""meaning"": ""to squat down""}]","[{""word"": ""じゃがむ"", ""reading"": ""じゃがむ"", ""meaning"": ""(non-word)""}, {""word"": ""しゃかむ"", ""reading"": ""しゃかむ"", ""meaning"": ""(non-word)""}, {""word"": ""しゃっがむ"", ""reading"": ""しゃっがむ"", ""meaning"": ""(non-word)""}]",1,Actions,to squat,,native Japanese,hiragana,踞む,4,false
15,すごい,"[{""word"": ""すごい雨"", ""reading"": ""すごいあめ"", ""meaning"": ""incredible rain"", ""tags"": []}]","[{""word"": ""すごい雨"", ""reading"": ""すごいあめ"", ""meaning"": ""incredible rain"", ""tags"": []}, {""word"": ""すごい力"", ""reading"": ""すごいちから"", ""meaning"": ""amazing strength""}, {""word"": ""すごい人"", ""reading"": ""すごいひと"", ""meaning"": ""an amazing person""}]","[{""word"": ""ずごい"", ""reading"": ""ずごい"", ""meaning"": ""(non-word)""}, {""word"": ""すこい"", ""reading"": ""すこい"", ""meaning"": ""(non-word)""}, {""word"": ""すごっい"", ""reading"": ""すごっい"", ""meaning"": ""(non-word)""}]",1,Descriptives,amazing,,native Japanese,hiragana,凄い,3,false
16,きれい,"[{""word"": ""きれいな町"", ""reading"": ""きれいなまち"", ""meaning"": ""a pretty town"", ""tags"": []}]","[{""word"": ""きれいな町"", ""reading"": ""きれいなまち"", ""meaning"": ""a pretty town"", ""tags"": []}, {""word"": ""きれいな花"", ""reading"": ""きれいなはな"", ""meaning"": ""a pretty flower""}, {""word"": ""きれいな海"", ""reading"": ""きれいなうみ"", ""meaning"": ""a beautiful sea""}]","[{""word"": ""ぎれい"", ""reading"": ""ぎれい"", ""meaning"": ""(non-word)""}, {""word"": ""きれっい"", ""reading"": ""きれっい"", ""meaning"": ""(non-word)""}, {""word"": ""きれ"", ""reading"": ""きれ"", ""meaning"": ""(non-word)""}]",1,Descriptives,pretty / clean,,"Sino-Japanese (綺麗, from Chinese)",hiragana,綺麗,3,false
17,かわいい,"[{""word"": ""かわいい子"", ""reading"": ""かわいいこ"", ""meaning"": ""a cute kid"", ""tags"": []}]","[{""word"": ""かわいい子"", ""reading"": ""かわいいこ"", ""meaning"": ""a cute kid"", ""tags"": []}, {""word"": ""かわいい犬"", ""reading"": ""かわいいいぬ"", ""meaning"": ""a cute dog""}, {""word"": ""かわいい服"", ""reading"": ""かわいいふく"", ""meaning"": ""cute clothes""}]","[{""word"": ""がわいい"", ""reading"": ""がわいい"", ""meaning"": ""(non-word)""}, {""word"": ""かわっいい"", ""reading"": ""かわっいい"", ""meaning"": ""(non-word)""}, {""word"": ""かわい"", ""reading"": ""かわい"", ""meaning"": ""(non-word)""}]",1,Descriptives,cute,,native Japanese,hiragana,可愛い,4,false
18,うるさい,"[{""word"": ""うるさい店"", ""reading"": ""うるさいみせ"", ""meaning"": ""a noisy shop"", ""tags"": []}]","[{""word"": ""うるさい店"", ""reading"": ""うるさいみせ"", ""meaning"": ""a noisy shop"", ""tags"": []}, {""word"": ""うるさい音"", ""reading"": ""うるさいおと"", ""meaning"": ""a loud noise""}, {""word"": ""うるさい車"", ""reading"": ""うるさいくるま"", ""meaning"": ""a noisy car""}]","[{""word"": ""うるざい"", ""reading"": ""うるざい"", ""meaning"": ""(non-word)""}, {""word"": ""うるっさい"", ""reading"": ""うるっさい"", ""meaning"": ""(non-word)""}, {""word"": ""うるさ"", ""reading"": ""うるさ"", ""meaning"": ""(non-word)""}]",1,Descriptives,noisy / annoying,,native Japanese,hiragana,煩い,4,false
19,ひどい,"[{""word"": ""ひどい天気"", ""reading"": ""ひどいてんき"", ""meaning"": ""terrible weather"", ""tags"": []}]","[{""word"": ""ひどい天気"", ""reading"": ""ひどいてんき"", ""meaning"": ""terrible weather"", ""tags"": []}, {""word"": ""ひどい日"", ""reading"": ""ひどいひ"", ""meaning"": ""an awful day""}, {""word"": ""ひどい話"", ""reading"": ""ひどいはなし"", ""meaning"": ""a terrible story""}]","[{""word"": ""びどい"", ""reading"": ""びどい"", ""meaning"": ""(non-word)""}, {""word"": ""ひとい"", ""reading"": ""ひとい"", ""meaning"": ""(non-word)""}, {""word"": ""ひどっい"", ""reading"": ""ひどっい"", ""meaning"": ""(non-word)""}]",1,Descriptives,terrible,,native Japanese,hiragana,酷い,3,false
20,うまい,"[{""word"": ""うまい魚"", ""reading"": ""うまいさかな"", ""meaning"": ""delicious fish"", ""tags"": []}]","[{""word"": ""うまい魚"", ""reading"": ""うまいさかな"", ""meaning"": ""delicious fish"", ""tags"": []}, {""word"": ""うまい肉"", ""reading"": ""うまいにく"", ""meaning"": ""tasty meat""}, {""word"": ""うまい話"", ""reading"": ""うまいはなし"", ""meaning"": ""a too-good story""}]","[{""word"": ""うまっい"", ""reading"": ""うまっい"", ""meaning"": ""(non-word)""}, {""word"": ""うま"", ""reading"": ""うま"", ""meaning"": ""(non-word)""}]",1,Descriptives,tasty / skillful,,native Japanese,hiragana,旨い,3,false
21,まずい,"[{""word"": ""まずい酒"", ""reading"": ""まずいさけ"", ""meaning"": ""bad-tasting sake"", ""tags"": []}]","[{""word"": ""まずい酒"", ""reading"": ""まずいさけ"", ""meaning"": ""bad-tasting sake"", ""tags"": []}, {""word"": ""まずい茶"", ""reading"": ""まずいちゃ"", ""meaning"": ""bad tea""}, {""word"": ""まずい時"", ""reading"": ""まずいとき"", ""meaning"": ""a bad moment""}]","[{""word"": ""ますい"", ""reading"": ""ますい"", ""meaning"": ""(non-word)""}, {""word"": ""まずっい"", ""reading"": ""まずっい"", ""meaning"": ""(non-word)""}, {""word"": ""まず"", ""reading"": ""まず"", ""meaning"": ""(non-word)""}]",1,Descriptives,bad-tasting / bad (situation),,native Japanese,hiragana,不味い,3,false
22,ずるい,"[{""word"": ""ずるい人"", ""reading"": ""ずるいひと"", ""meaning"": ""a sneaky person"", ""tags"": []}]","[{""word"": ""ずるい人"", ""reading"": ""ずるいひと"", ""meaning"": ""a sneaky person"", ""tags"": []}, {""word"": ""ずるい答え"", ""reading"": ""ずるいこたえ"", ""meaning"": ""a sneaky answer""}, {""word"": ""ずるい仕方"", ""reading"": ""ずるいしかた"", ""meaning"": ""an unfair method""}]","[{""word"": ""するい"", ""reading"": ""するい"", ""meaning"": ""(non-word)""}, {""word"": ""ずるっい"", ""reading"": ""ずるっい"", ""meaning"": ""(non-word)""}, {""word"": ""ずる"", ""reading"": ""ずる"", ""meaning"": ""(non-word)""}]",1,Descriptives,sneaky / unfair,,native Japanese,hiragana,狡い,3,false
23,もったいない,"[{""word"": ""時間がもったいない"", ""reading"": ""じかんがもったいない"", ""meaning"": ""a waste of time"", ""tags"": []}]","[{""word"": ""時間がもったいない"", ""reading"": ""じかんがもったいない"", ""meaning"": ""a waste of time"", ""tags"": []}, {""word"": ""もったいない話"", ""reading"": ""もったいないはなし"", ""meaning"": ""a wasteful affair""}, {""word"": ""もったいないこと"", ""reading"": ""もったいないこと"", ""meaning"": ""a wasteful thing""}]","[{""word"": ""もっだいない"", ""reading"": ""もっだいない"", ""meaning"": ""(non-word)""}, {""word"": ""もたいない"", ""reading"": ""もたいない"", ""meaning"": ""(non-word)""}, {""word"": ""もったいな"", ""reading"": ""もったいな"", ""meaning"": ""(non-word)""}]",1,Descriptives,wasteful,,native Japanese,hiragana,勿体無い,6,false
24,ばか,"[{""word"": ""ばかなこと"", ""reading"": ""ばかなこと"", ""meaning"": ""a stupid thing"", ""tags"": []}]","[{""word"": ""ばかなこと"", ""reading"": ""ばかなこと"", ""meaning"": ""a stupid thing"", ""tags"": []}, {""word"": ""ばかな話"", ""reading"": ""ばかなはなし"", ""meaning"": ""a silly story""}, {""word"": ""ばかに高い"", ""reading"": ""ばかにたかい"", ""meaning"": ""absurdly expensive""}]","[{""word"": ""はか"", ""reading"": ""はか"", ""meaning"": ""(non-word)""}, {""word"": ""ばが"", ""reading"": ""ばが"", ""meaning"": ""(non-word)""}]",1,Descriptives,fool / stupid,,,hiragana,馬鹿,2,false
25,だめ,"[{""word"": ""だめな日"", ""reading"": ""だめなひ"", ""meaning"": ""a no-good day"", ""tags"": []}]","[{""word"": ""だめな日"", ""reading"": ""だめなひ"", ""meaning"": ""a no-good day"", ""tags"": []}, {""word"": ""だめな答え"", ""reading"": ""だめなこたえ"", ""meaning"": ""a no-good answer""}, {""word"": ""だめになる"", ""reading"": ""だめになる"", ""meaning"": ""to go bad""}]","[{""word"": ""ため"", ""reading"": ""ため"", ""meaning"": ""(non-word)""}]",1,Descriptives,no good / not allowed,,"Sino-Japanese (駄目, from Chinese)",hiragana,駄目,2,false
26,けち,"[{""word"": ""けちな人"", ""reading"": ""けちなひと"", ""meaning"": ""a stingy person"", ""tags"": []}]","[{""word"": ""けちな人"", ""reading"": ""けちなひと"", ""meaning"": ""a stingy person"", ""tags"": []}, {""word"": ""けちになる"", ""reading"": ""けちになる"", ""meaning"": ""to turn stingy""}, {""word"": ""けちな話"", ""reading"": ""けちなはなし"", ""meaning"": ""a stingy affair""}]","[{""word"": ""げち"", ""reading"": ""げち"", ""meaning"": ""(non-word)""}, {""word"": ""けぢ"", ""reading"": ""けぢ"", ""meaning"": ""(non-word)""}]",1,Descriptives,stingy,,native Japanese,hiragana,吝嗇,2,false
27,わがまま,"[{""word"": ""わがままな子"", ""reading"": ""わがままなこ"", ""meaning"": ""a selfish child"", ""tags"": []}]","[{""word"": ""わがままな子"", ""reading"": ""わがままなこ"", ""meaning"": ""a selfish child"", ""tags"": []}, {""word"": ""わがままな人"", ""reading"": ""わがままなひと"", ""meaning"": ""a selfish person""}, {""word"": ""わがままを言う"", ""reading"": ""わがままをいう"", ""meaning"": ""to act spoiled""}]","[{""word"": ""わかまま"", ""reading"": ""わかまま"", ""meaning"": ""(non-word)""}, {""word"": ""わがっまま"", ""reading"": ""わがっまま"", ""meaning"": ""(non-word)""}, {""word"": ""わがま"", ""reading"": ""わがま"", ""meaning"": ""(non-word)""}]",1,Descriptives,selfish,,native Japanese,hiragana,我儘,4,false
28,でたらめ,"[{""word"": ""でたらめな話"", ""reading"": ""でたらめなはなし"", ""meaning"": ""a made-up story"", ""tags"": []}]","[{""word"": ""でたらめな話"", ""reading"": ""でたらめなはなし"", ""meaning"": ""a made-up story"", ""tags"": []}, {""word"": ""でたらめを言う"", ""reading"": ""でたらめをいう"", ""meaning"": ""to talk nonsense""}, {""word"": ""でたらめな答え"", ""reading"": ""でたらめなこたえ"", ""meaning"": ""a nonsense answer""}]","[{""word"": ""てたらめ"", ""reading"": ""てたらめ"", ""meaning"": ""(non-word)""}, {""word"": ""でだらめ"", ""reading"": ""でだらめ"", ""meaning"": ""(non-word)""}, {""word"": ""でたっらめ"", ""reading"": ""でたっらめ"", ""meaning"": ""(non-word)""}]",1,Descriptives,nonsense / made-up,,native Japanese,hiragana,出鱈目,4,false
29,いたずら,"[{""word"": ""いたずらをする"", ""reading"": ""いたずらをする"", ""meaning"": ""to play a prank"", ""tags"": []}]","[{""word"": ""いたずらをする"", ""reading"": ""いたずらをする"", ""meaning"": ""to play a prank"", ""tags"": []}, {""word"": ""ねこのいたずら"", ""reading"": ""ねこのいたずら"", ""meaning"": ""the cats mischief""}, {""word"": ""子どものいたずら"", ""reading"": ""こどものいたずら"", ""meaning"": ""a childs prank""}]","[{""word"": ""いだずら"", ""reading"": ""いだずら"", ""meaning"": ""(non-word)""}, {""word"": ""いたすら"", ""reading"": ""いたすら"", ""meaning"": ""(non-word)""}, {""word"": ""いたっずら"", ""reading"": ""いたっずら"", ""meaning"": ""(non-word)""}]",1,Behavior,mischief / prank,,native Japanese,hiragana,悪戯,4,false
30,けんか,"[{""word"": ""けんかになる"", ""reading"": ""けんかになる"", ""meaning"": ""to turn into a fight"", ""tags"": []}]","[{""word"": ""けんかになる"", ""reading"": ""けんかになる"", ""meaning"": ""to turn into a fight"", ""tags"": []}, {""word"": ""けんかを止める"", ""reading"": ""けんかをとめる"", ""meaning"": ""to stop a fight""}, {""word"": ""兄とけんかする"", ""reading"": ""あにとけんかする"", ""meaning"": ""to fight with ones brother""}]","[{""word"": ""げんか"", ""reading"": ""げんか"", ""meaning"": ""(non-word)""}, {""word"": ""けんが"", ""reading"": ""けんが"", ""meaning"": ""(non-word)""}, {""word"": ""けんっか"", ""reading"": ""けんっか"", ""meaning"": ""(non-word)""}]",1,Behavior,fight / quarrel,,"Sino-Japanese (喧嘩, from Chinese)",hiragana,喧嘩,3,false
31,まね,"[{""word"": ""まねをする"", ""reading"": ""まねをする"", ""meaning"": ""to imitate"", ""tags"": []}]","[{""word"": ""まねをする"", ""reading"": ""まねをする"", ""meaning"": ""to imitate"", ""tags"": []}, {""word"": ""まねが上手"", ""reading"": ""まねがじょうず"", ""meaning"": ""good at impressions""}, {""word"": ""父のまね"", ""reading"": ""ちちのまね"", ""meaning"": ""an imitation of dad""}]",[],1,Behavior,imitation,,native Japanese,hiragana,真似,2,false
32,びっくり,"[{""word"": ""びっくりした"", ""reading"": ""びっくりした"", ""meaning"": ""I was surprised"", ""tags"": []}]","[{""word"": ""びっくりした"", ""reading"": ""びっくりした"", ""meaning"": ""I was surprised"", ""tags"": []}, {""word"": ""びっくりする"", ""reading"": ""びっくりする"", ""meaning"": ""to be surprised""}, {""word"": ""びっくりの話"", ""reading"": ""びっくりのはなし"", ""meaning"": ""a surprising story""}]","[{""word"": ""ひっくり"", ""reading"": ""ひっくり"", ""meaning"": ""(non-word)""}, {""word"": ""びっぐり"", ""reading"": ""びっぐり"", ""meaning"": ""(non-word)""}, {""word"": ""びくり"", ""reading"": ""びくり"", ""meaning"": ""(non-word)""}]",1,Behavior,surprise,,native Japanese,hiragana,吃驚,4,false
33,けが,"[{""word"": ""けがをする"", ""reading"": ""けがをする"", ""meaning"": ""to get injured"", ""tags"": []}]","[{""word"": ""けがをする"", ""reading"": ""けがをする"", ""meaning"": ""to get injured"", ""tags"": []}, {""word"": ""大きいけが"", ""reading"": ""おおきいけが"", ""meaning"": ""a serious injury""}, {""word"": ""足のけが"", ""reading"": ""あしのけが"", ""meaning"": ""a leg injury""}]","[{""word"": ""げが"", ""reading"": ""げが"", ""meaning"": ""(non-word)""}, {""word"": ""けか"", ""reading"": ""けか"", ""meaning"": ""(non-word)""}]",1,Health,injury,,native Japanese,hiragana,怪我,2,false
34,やけど,"[{""word"": ""やけどをする"", ""reading"": ""やけどをする"", ""meaning"": ""to get burned"", ""tags"": []}]","[{""word"": ""やけどをする"", ""reading"": ""やけどをする"", ""meaning"": ""to get burned"", ""tags"": []}, {""word"": ""小さいやけど"", ""reading"": ""ちいさいやけど"", ""meaning"": ""a small burn""}, {""word"": ""手のやけど"", ""reading"": ""てのやけど"", ""meaning"": ""a burn on the hand""}]","[{""word"": ""やげど"", ""reading"": ""やげど"", ""meaning"": ""(non-word)""}, {""word"": ""やけと"", ""reading"": ""やけと"", ""meaning"": ""(non-word)""}, {""word"": ""やけっど"", ""reading"": ""やけっど"", ""meaning"": ""(non-word)""}]",1,Health,burn (injury),,native Japanese,hiragana,火傷,3,false
35,くしゃみ,"[{""word"": ""くしゃみが出る"", ""reading"": ""くしゃみがでる"", ""meaning"": ""to sneeze"", ""tags"": []}]","[{""word"": ""くしゃみが出る"", ""reading"": ""くしゃみがでる"", ""meaning"": ""to sneeze"", ""tags"": []}, {""word"": ""くしゃみが止まらない"", ""reading"": ""くしゃみがとまらない"", ""meaning"": ""cant stop sneezing""}, {""word"": ""大きいくしゃみ"", ""reading"": ""おおきいくしゃみ"", ""meaning"": ""a big sneeze""}]","[{""word"": ""ぐしゃみ"", ""reading"": ""ぐしゃみ"", ""meaning"": ""(non-word)""}, {""word"": ""くじゃみ"", ""reading"": ""くじゃみ"", ""meaning"": ""(non-word)""}, {""word"": ""くしっゃみ"", ""reading"": ""くしっゃみ"", ""meaning"": ""(non-word)""}]",1,Health,sneeze,,native Japanese,hiragana,嚔,4,false
36,あくび,"[{""word"": ""あくびが出る"", ""reading"": ""あくびがでる"", ""meaning"": ""to yawn"", ""tags"": []}]","[{""word"": ""あくびが出る"", ""reading"": ""あくびがでる"", ""meaning"": ""to yawn"", ""tags"": []}, {""word"": ""朝のあくび"", ""reading"": ""あさのあくび"", ""meaning"": ""a morning yawn""}, {""word"": ""大きいあくび"", ""reading"": ""おおきいあくび"", ""meaning"": ""a big yawn""}]","[{""word"": ""あぐび"", ""reading"": ""あぐび"", ""meaning"": ""(non-word)""}, {""word"": ""あくひ"", ""reading"": ""あくひ"", ""meaning"": ""(non-word)""}, {""word"": ""あくっび"", ""reading"": ""あくっび"", ""meaning"": ""(non-word)""}]",1,Health,yawn,,native Japanese,hiragana,欠伸,3,false
37,いびき,"[{""word"": ""いびきをかく"", ""reading"": ""いびきをかく"", ""meaning"": ""to snore"", ""tags"": []}]","[{""word"": ""いびきをかく"", ""reading"": ""いびきをかく"", ""meaning"": ""to snore"", ""tags"": []}, {""word"": ""大きいいびき"", ""reading"": ""おおきいいびき"", ""meaning"": ""loud snoring""}, {""word"": ""父のいびき"", ""reading"": ""ちちのいびき"", ""meaning"": ""dads snoring""}]","[{""word"": ""いひき"", ""reading"": ""いひき"", ""meaning"": ""(non-word)""}, {""word"": ""いびぎ"", ""reading"": ""いびぎ"", ""meaning"": ""(non-word)""}, {""word"": ""いびっき"", ""reading"": ""いびっき"", ""meaning"": ""(non-word)""}]",1,Health,snoring,,native Japanese,hiragana,鼾,3,false
38,しゃっくり,"[{""word"": ""しゃっくりが止まらない"", ""reading"": ""しゃっくりがとまらない"", ""meaning"": ""can't stop hiccuping"", ""tags"": []}]","[{""word"": ""しゃっくりが止まらない"", ""reading"": ""しゃっくりがとまらない"", ""meaning"": ""can't stop hiccuping"", ""tags"": []}, {""word"": ""しゃっくりが出る"", ""reading"": ""しゃっくりがでる"", ""meaning"": ""to get hiccups""}, {""word"": ""急なしゃっくり"", ""reading"": ""きゅうなしゃっくり"", ""meaning"": ""sudden hiccups""}]","[{""word"": ""じゃっくり"", ""reading"": ""じゃっくり"", ""meaning"": ""(non-word)""}, {""word"": ""しゃっぐり"", ""reading"": ""しゃっぐり"", ""meaning"": ""(non-word)""}, {""word"": ""しゃくり"", ""reading"": ""しゃくり"", ""meaning"": ""(non-word)""}]",1,Health,hiccup,,native Japanese,hiragana,吃逆,5,false
