id,kanji_list,kana_list,tokens
s028,"[38, 146, 98]",[],"[{""kind"": ""word"", ""ja"": ""母"", ""reading"": ""はは"", ""en"": ""mother"", ""kanji"": [""母""], ""targets"": [38]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""先生"", ""reading"": ""せんせい"", ""en"": ""teacher"", ""kanji"": [""先"", ""生""], ""targets"": [146, 98]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s029,"[32, 34, 67]",[],"[{""kind"": ""word"", ""ja"": ""男"", ""reading"": ""おとこ"", ""en"": ""man"", ""kanji"": [""男""], ""targets"": [32]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""子"", ""reading"": ""こ"", ""en"": ""child"", ""kanji"": [""子""], ""targets"": [34]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""立つ"", ""reading"": ""たつ"", ""en"": ""stand"", ""kanji"": [""立""], ""targets"": [67]}]"
s030,"[33, 30, 66]",[],"[{""kind"": ""word"", ""ja"": ""女"", ""reading"": ""おんな"", ""en"": ""woman"", ""kanji"": [""女""], ""targets"": [33]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""person"", ""kanji"": [""人""], ""targets"": [30]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""話す"", ""reading"": ""はなす"", ""en"": ""speak"", ""kanji"": [""話""], ""targets"": [66]}]"
s031,"[35, 36, 64, 144, 256]",[],"[{""kind"": ""word"", ""ja"": ""友達"", ""reading"": ""ともだち"", ""en"": ""friend"", ""kanji"": [""友"", ""達""], ""targets"": [36, 256]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""名前"", ""reading"": ""なまえ"", ""en"": ""name"", ""kanji"": [""名"", ""前""], ""targets"": [35, 144]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""書きます"", ""reading"": ""かきます"", ""en"": ""write"", ""kanji"": [""書""], ""targets"": [64], ""lemma"": ""書く""}]"
s032,"[47, 39]",[],"[{""kind"": ""word"", ""ja"": ""駅"", ""reading"": ""えき"", ""en"": ""station"", ""kanji"": [""駅""], ""targets"": [47]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""上"", ""reading"": ""うえ"", ""en"": ""above"", ""kanji"": [""上""], ""targets"": [39]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""ある"", ""reading"": ""ある"", ""en"": ""is"", ""kanji"": [], ""targets"": []}]"
s033,"[50, 41, 61]",[],"[{""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""shop"", ""kanji"": [""店""], ""targets"": [50]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""中"", ""reading"": ""なか"", ""en"": ""inside"", ""kanji"": [""中""], ""targets"": [41]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""入る"", ""reading"": ""はいる"", ""en"": ""enter"", ""kanji"": [""入""], ""targets"": [61]}]"
s034,"[42, 45]",[],"[{""kind"": ""word"", ""ja"": ""大きい"", ""reading"": ""おおきい"", ""en"": ""big"", ""kanji"": [""大""], ""targets"": [42]}, {""kind"": ""word"", ""ja"": ""山"", ""reading"": ""やま"", ""en"": ""mountain"", ""kanji"": [""山""], ""targets"": [45]}]"
s035,"[43, 46]",[],"[{""kind"": ""word"", ""ja"": ""小さい"", ""reading"": ""ちいさい"", ""en"": ""small"", ""kanji"": [""小""], ""targets"": [43]}, {""kind"": ""word"", ""ja"": ""川"", ""reading"": ""かわ"", ""en"": ""river"", ""kanji"": [""川""], ""targets"": [46]}]"
s036,"[41, 44, 54]",[],"[{""kind"": ""word"", ""ja"": ""中国"", ""reading"": ""ちゅうごく"", ""en"": ""China"", ""kanji"": [""中"", ""国""], ""targets"": [41, 44]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s037,"[52, 68]",[],"[{""kind"": ""word"", ""ja"": ""外"", ""reading"": ""そと"", ""en"": ""outside"", ""kanji"": [""外""], ""targets"": [52]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""待つ"", ""reading"": ""まつ"", ""en"": ""wait"", ""kanji"": [""待""], ""targets"": [68]}]"
s038,"[51, 41, 63]",[],"[{""kind"": ""word"", ""ja"": ""家"", ""reading"": ""いえ"", ""en"": ""house"", ""kanji"": [""家""], ""targets"": [51]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""中"", ""reading"": ""なか"", ""en"": ""inside"", ""kanji"": [""中""], ""targets"": [41]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""読む"", ""reading"": ""よむ"", ""en"": ""read"", ""kanji"": [""読""], ""targets"": [63]}]"
s039,"[48, 49, 54]",[],"[{""kind"": ""word"", ""ja"": ""町"", ""reading"": ""まち"", ""en"": ""town"", ""kanji"": [""町""], ""targets"": [48]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""道"", ""reading"": ""みち"", ""en"": ""road"", ""kanji"": [""道""], ""targets"": [49]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""walk"", ""kanji"": [""行""], ""targets"": [54]}]"
s040,"[40, 71]",[],"[{""kind"": ""word"", ""ja"": ""下"", ""reading"": ""した"", ""en"": ""below"", ""kanji"": [""下""], ""targets"": [40]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""本"", ""reading"": ""ほん"", ""en"": ""book"", ""kanji"": [""本""], ""targets"": [71]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""ある"", ""reading"": ""ある"", ""en"": ""is"", ""kanji"": [], ""targets"": []}]"
s041,"[44, 179]",[],"[{""kind"": ""word"", ""ja"": ""国"", ""reading"": ""くに"", ""en"": ""country"", ""kanji"": [""国""], ""targets"": [44]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""帰る"", ""reading"": ""かえる"", ""en"": ""return"", ""kanji"": [""帰""], ""targets"": [179]}]"
s042,"[17, 58]",[],"[{""kind"": ""word"", ""ja"": ""水"", ""reading"": ""みず"", ""en"": ""water"", ""kanji"": [""水""], ""targets"": [17]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""飲む"", ""reading"": ""のむ"", ""en"": ""drink"", ""kanji"": [""飲""], ""targets"": [58]}]"
s043,"[82, 58]",[],"[{""kind"": ""word"", ""ja"": ""お茶"", ""reading"": ""おちゃ"", ""en"": ""tea"", ""kanji"": [""茶""], ""targets"": [82]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""飲む"", ""reading"": ""のむ"", ""en"": ""drink"", ""kanji"": [""飲""], ""targets"": [58]}]"
s044,"[56, 22]",[],"[{""kind"": ""word"", ""ja"": ""見る"", ""reading"": ""みる"", ""en"": ""see"", ""kanji"": [""見""], ""targets"": [56]}, {""kind"": ""word"", ""ja"": ""時"", ""reading"": ""とき"", ""en"": ""when"", ""kanji"": [""時""], ""targets"": [22]}]"
s045,"[59, 30]",[],"[{""kind"": ""word"", ""ja"": ""言う"", ""reading"": ""いう"", ""en"": ""say"", ""kanji"": [""言""], ""targets"": [59]}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""person"", ""kanji"": [""人""], ""targets"": [30]}]"
s046,"[60, 22, 26]",[],"[{""kind"": ""word"", ""ja"": ""出る"", ""reading"": ""でる"", ""en"": ""exit"", ""kanji"": [""出""], ""targets"": [60]}, {""kind"": ""word"", ""ja"": ""時間"", ""reading"": ""じかん"", ""en"": ""time"", ""kanji"": [""時"", ""間""], ""targets"": [22, 26]}]"
s047,"[100, 255, 64]",[],"[{""kind"": ""word"", ""ja"": ""手紙"", ""reading"": ""てがみ"", ""en"": ""letter"", ""kanji"": [""手"", ""紙""], ""targets"": [100, 255]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""書く"", ""reading"": ""かく"", ""en"": ""write"", ""kanji"": [""書""], ""targets"": [64]}]"
s048,"[70, 65, 63]",[],"[{""kind"": ""word"", ""ja"": ""新聞"", ""reading"": ""しんぶん"", ""en"": ""newspaper"", ""kanji"": [""新"", ""聞""], ""targets"": [70, 65]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""読む"", ""reading"": ""よむ"", ""en"": ""read"", ""kanji"": [""読""], ""targets"": [63]}]"
s049,"[66, 65]",[],"[{""kind"": ""word"", ""ja"": ""話"", ""reading"": ""はなし"", ""en"": ""story"", ""kanji"": [""話""], ""targets"": [66]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""聞く"", ""reading"": ""きく"", ""en"": ""listen"", ""kanji"": [""聞""], ""targets"": [65]}]"
s050,"[94, 62]",[],"[{""kind"": ""word"", ""ja"": ""車"", ""reading"": ""くるま"", ""en"": ""car"", ""kanji"": [""車""], ""targets"": [94]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s051,"[95, 94, 60]",[],"[{""kind"": ""word"", ""ja"": ""電車"", ""reading"": ""でんしゃ"", ""en"": ""train"", ""kanji"": [""電"", ""車""], ""targets"": [95, 94]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""出る"", ""reading"": ""でる"", ""en"": ""leave"", ""kanji"": [""出""], ""targets"": [60]}]"
s052,"[69, 94]",[],"[{""kind"": ""word"", ""ja"": ""高い"", ""reading"": ""たかい"", ""en"": ""expensive"", ""kanji"": [""高""], ""targets"": [69]}, {""kind"": ""word"", ""ja"": ""車"", ""reading"": ""くるま"", ""en"": ""car"", ""kanji"": [""車""], ""targets"": [94]}]"
s053,"[70, 71]",[],"[{""kind"": ""word"", ""ja"": ""新しい"", ""reading"": ""あたらしい"", ""en"": ""new"", ""kanji"": [""新""], ""targets"": [70]}, {""kind"": ""word"", ""ja"": ""本"", ""reading"": ""ほん"", ""en"": ""book"", ""kanji"": [""本""], ""targets"": [71]}]"
s054,"[74, 50]",[],"[{""kind"": ""word"", ""ja"": ""安い"", ""reading"": ""やすい"", ""en"": ""cheap"", ""kanji"": [""安""], ""targets"": [74]}, {""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""shop"", ""kanji"": [""店""], ""targets"": [50]}]"
s055,"[75, 30]",[],"[{""kind"": ""word"", ""ja"": ""多い"", ""reading"": ""おおい"", ""en"": ""many"", ""kanji"": [""多""], ""targets"": [75]}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""people"", ""kanji"": [""人""], ""targets"": [30]}]"
s056,"[76, 17]",[],"[{""kind"": ""word"", ""ja"": ""少ない"", ""reading"": ""すくない"", ""en"": ""few"", ""kanji"": [""少""], ""targets"": [76]}, {""kind"": ""word"", ""ja"": ""水"", ""reading"": ""みず"", ""en"": ""water"", ""kanji"": [""水""], ""targets"": [17]}]"
s057,"[77, 46]",[],"[{""kind"": ""word"", ""ja"": ""長い"", ""reading"": ""ながい"", ""en"": ""long"", ""kanji"": [""長""], ""targets"": [77]}, {""kind"": ""word"", ""ja"": ""川"", ""reading"": ""かわ"", ""en"": ""river"", ""kanji"": [""川""], ""targets"": [46]}]"
s058,"[78, 57, 88]",[],"[{""kind"": ""word"", ""ja"": ""好きな"", ""reading"": ""すきな"", ""en"": ""favorite"", ""kanji"": [""好""], ""targets"": [78], ""lemma"": ""好き""}, {""kind"": ""word"", ""ja"": ""食べ物"", ""reading"": ""たべもの"", ""en"": ""food"", ""kanji"": [""食"", ""物""], ""targets"": [57, 88]}]"
s059,"[11, 72]",[],"[{""kind"": ""word"", ""ja"": ""百円"", ""reading"": ""ひゃくえん"", ""en"": ""100 yen"", ""kanji"": [""百"", ""円""], ""targets"": [11, 72]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s060,"[12, 72, 62]",[],"[{""kind"": ""word"", ""ja"": ""千円"", ""reading"": ""せんえん"", ""en"": ""1000 yen"", ""kanji"": [""千"", ""円""], ""targets"": [12, 72]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s061,"[1, 13, 72, 69]",[],"[{""kind"": ""word"", ""ja"": ""一万"", ""reading"": ""いちまん"", ""en"": ""10,000"", ""kanji"": [""一"", ""万""], ""targets"": [1, 13]}, {""kind"": ""word"", ""ja"": ""円"", ""reading"": ""えん"", ""en"": ""yen"", ""kanji"": [""円""], ""targets"": [72]}, {""kind"": ""word"", ""ja"": ""高い"", ""reading"": ""たかい"", ""en"": ""expensive"", ""kanji"": [""高""], ""targets"": [69]}]"
s062,"[89, 57]",[],"[{""kind"": ""word"", ""ja"": ""ご飯"", ""reading"": ""ごはん"", ""en"": ""rice"", ""kanji"": [""飯""], ""targets"": [89]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s063,"[80, 85, 86, 62]",[],"[{""kind"": ""word"", ""ja"": ""肉"", ""reading"": ""にく"", ""en"": ""meat"", ""kanji"": [""肉""], ""targets"": [80]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""野菜"", ""reading"": ""やさい"", ""en"": ""vegetable"", ""kanji"": [""野"", ""菜""], ""targets"": [85, 86]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s064,"[81, 78]",[],"[{""kind"": ""word"", ""ja"": ""魚"", ""reading"": ""さかな"", ""en"": ""fish"", ""kanji"": [""魚""], ""targets"": [81]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""好き"", ""reading"": ""すき"", ""en"": ""like"", ""kanji"": [""好""], ""targets"": [78]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s065,"[83, 58]",[],"[{""kind"": ""word"", ""ja"": ""お酒"", ""reading"": ""おさけ"", ""en"": ""alcohol"", ""kanji"": [""酒""], ""targets"": [83]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""飲む"", ""reading"": ""のむ"", ""en"": ""drink"", ""kanji"": [""飲""], ""targets"": [58]}]"
s066,"[84, 57]",[],"[{""kind"": ""word"", ""ja"": ""卵"", ""reading"": ""たまご"", ""en"": ""egg"", ""kanji"": [""卵""], ""targets"": [84]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s067,"[87, 88, 74]",[],"[{""kind"": ""word"", ""ja"": ""果物"", ""reading"": ""くだもの"", ""en"": ""fruit"", ""kanji"": [""果"", ""物""], ""targets"": [87, 88]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""安い"", ""reading"": ""やすい"", ""en"": ""cheap"", ""kanji"": [""安""], ""targets"": [74]}]"
s068,"[79, 62]",[],"[{""kind"": ""word"", ""ja"": ""米"", ""reading"": ""こめ"", ""en"": ""rice"", ""kanji"": [""米""], ""targets"": [79]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
